"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"588","HIST206","The Middle Ages, 300–1500","<p>Introduction to the European Middle Ages. Topics include Rome's decline, the rise of Christianity, the spread of Islam, Charlemagne, Viking attacks, wars and the Crusades, the commercial revolution, saints, the culture of chivalry, the papacy, the invention of universities, the foundations for modern law, and early journeys of discovery.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"european topics romes decline christianity spread charlemagne viking attacks wars crusades revolution saints culture chivalry papacy invention universities foundations modern journeys discovery"
"589","HIST220J","Grand Strategy and the Origins of the Second World War","<p>A survey of the most important literature and debates concerning the coming of the Second World War in both Europe and the Pacific. Emphasis on the comparative approach to international history and on the interplay of domestic politics, economics, and strategy.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"concerning world war europe pacific emphasis comparative international interplay politics economics"
"590","HIST231J","The Dark Years: Collaboration and Resistance in Vichy France","<p>The concomitants of collaboration and resistance during Vichy France, 1940–44. Topics include the fall of France in 1940; the return of Pétain's ""National Revolution"" and its continuities with the French Right during the Third Republic; the extent and nature of resistance (in the context of pre–World War II politics); and the memory of the Vichy years and its influence on subsequent French political life.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"concomitants collaboration resistance vichy france 194044 topics 1940 return pétains national revolution continuities french right third context preworld war politics memory subsequent political life"
"591","HIST255J","London and Modernity, 1880 to the Present","<p>Aspects of modernity and the changing character of London as a metropolitan center from the late nineteenth century to the present. Social and economic development of the city, urban cultures, historical geography, sexuality, and the imperial and postimperial metropolis.</p><br><p><br></p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aspects modernity london metropolitan center late nineteenth present social economic urban cultures historical geography sexuality imperial postimperial metropolis"
"592","HIST264","Eastern Europe since 1914","<p>Eastern Europe from the collapse of the old imperial order to the enlargement of the European Union. Main themes include world war, nationalism, fascism, and communism. Special attention to the structural weaknesses of interwar nation-states and postwar communist regimes. Nazi and Soviet occupation as an age of extremes. The collapse of communism. Communism after 1989 and the dissolution of Yugoslavia in the 1990s as parallel European trajectories.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eastern europe collapse old imperial enlargement european union themes world war nationalism fascism communism special weaknesses interwar nationstates communist regimes nazi soviet occupation extremes 1989 dissolution yugoslavia 1990s parallel trajectories"
"593","HIST270J","Philosophy of History in Central Europe","<p>Ways in which central European philosophers before, during, and after the communist period grappled with the meaning of history, the role of the individual within history, and the space for ethics within historical determinism. Philosophy of history as an aspect of, and response to, the totalitarian experiments of the twentieth century.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"central european philosophers communist grappled individual within ethics historical determinism philosophy aspect totalitarian experiments"
"594","HIST271","European Intellectual History since Nietzsche","<p>Major currents in European intellectual history from the late nineteenth century through the twentieth. Topics include Marxism-Leninism, psychoanalysis, expressionism, structuralism, phenomenology, existentialism, antipolitics, and deconstruction.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"currents european late nineteenth topics marxismleninism expressionism structuralism phenomenology existentialism antipolitics deconstruction"
"595","HIST276","France since 1871","<p>The emergence of modern France since the Paris Commune of 1871 and the beginnings of the Third Republic. The social, economic, political, and cultural transformation of France; the impact of France's revolutionary heritage, of industrialization, and of the dislocation wrought by two world wars and decolonialization; and the political response of the Left and the Right to changing French society, including the impact of immigration and the emergence and challenges of the European Union.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"emergence modern france paris commune 1871 beginnings third social economic political cultural transformation frances revolutionary industrialization dislocation wrought two world wars decolonialization left right french society including immigration challenges european union"
"596","HIST293J","Human Rights in the Age of Revolutions","<p>Introduction to the idea of human rights and its origins. Topics include: relationship and tension in Enlightenment thought between equality and liberty; “the rights of man” and its exclusions; emergence of abolitionism in the context of slave societies; roots of feminism; the poor and the question of social and economic rights.&#160;Development of a sustained research project.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"idea origins topics tension enlightenment thought liberty man exclusions emergence abolitionism context slave roots feminism question social economic sustained"
"597","HIST307J","The Confucian Dilemma in the Later Centuries","<p>How the political experience of the scholar-officials in China’s second millennium helped to revise and retool the relationship of self, society, and the state that Confucians had articulated in the previous centuries. &#160;</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"political scholarofficials chinas millennium helped revise retool self society state confucians articulated previous centuries "
"598","HIST323","Southeast Asia since 1900","<p>Comparative colonialism, nationalism, revolution, and independence in modern Southeast Asia. Topics include Indonesia and the Dutch, Indochina under French rule, the United States in the Philippines and Vietnam, Buddhism in Burma and Thailand, communist and peasant movements, and the Cambodian revolution and its regional repercussions.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"comparative colonialism nationalism revolution modern southeast topics indonesia dutch indochina french states philippines vietnam burma thailand communist peasant movements cambodian regional repercussions"
"599","HIST345","Jews in Muslim Lands from the Seventh to the Sixteenth Centuries","<p>Jewish culture and society in Muslim lands from the time of the Prophet Muhammad to that of Suleiman the Magnificent. Topics include Islam and Judaism; Jerusalem as a holy site; rabbinic leadership and literature in Baghdad; Jewish courtiers, poets, and philosophers in Muslim Spain; and the Jews in the Ottoman Empire.</p>","JDST764","MMES148","HIST590","RLST777","RLST202","JDST265",NA,NA,NA,"jewish culture society lands time prophet muhammad suleiman magnificent topics judaism jerusalem holy site rabbinic leadership baghdad courtiers philosophers spain jews ottoman empire"
"600","HIST347J","From the Great Game to the Great Satan: Iran, Afghanistan, and Central Asia in the Age of Empires","<p>Encounters of Iran and its neighbors with Britain, Russia, and the United States since the nineteenth century. Special attention to Western imperial interests in the region and to indigenous forms of resistance to imperial hegemony. Topics include travel, diplomacy, war and hegemony, postcolonial sovereignty, the Cold War and regional power, and the Islamic Republic's demonizing of America.</p>","MMES442",NA,NA,NA,NA,NA,NA,NA,NA,"encounters iran neighbors britain russia states nineteenth special western imperial region indigenous resistance hegemony topics travel war postcolonial cold regional republics demonizing"
"601","HIST348J","Citizenship in Iran and Afghanistan","<p>Concepts of citizenship and national identity in Iran and Afghanistan in the nineteenth and twentieth centuries; how subjects became citizens. Focus on women and gender, ethnic communities and non-Muslim minorities, social and legal reforms, and human rights violations.</p>","MMES340",NA,NA,NA,NA,NA,NA,NA,NA,"concepts citizenship national identity iran afghanistan nineteenth centuries became focus women nonmuslim minorities social legal reforms violations"
"602","HIST364J","History of the Caribbean, 1898 to the Present","<p>History of the greater Caribbean area as its citizens emerged from struggles against slavery and forged new projects for independence after 1898. The historical unity of the Caribbean explored across linguistic, imperial, and national lines. The region's central role in global events, its democratic struggles, and its diasporas and their influence.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"greater caribbean emerged struggles forged projects 1898 historical unity explored linguistic imperial national lines regions central events democratic diasporas"
"603","HIST373","The Silk Road","<p>A journey along the overland and sea routes that connected China, India, and Iran from 200 to 1000 C.E. and served as conduits for cultural exchange. The lives of merchants, envoys, pilgrims, and travelers interacting in cosmopolitan communities. Exploration of long-known and newly discovered archaeological ruins, along with primary sources in translation.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"journey overland sea routes connected india iran 200 1000 ce served conduits cultural exchange lives merchants envoys pilgrims travelers interacting cosmopolitan exploration longknown newly discovered archaeological ruins sources"
"604","HIST384J","The Middle East between Crusaders and Mongols","<p>The impact of the Crusades and the Mongol conquests on the Islamic Middle East. Political, social, and economic changes in the region from the eleventh century to the middle of the fourteenth. Emphasis on the rise of new dynasties as a result of changes in the ethnic mosaic of the Middle East.</p>
","MMES172","NELC403",NA,NA,NA,NA,NA,NA,NA,"crusades mongol conquests east political social economic region eleventh fourteenth emphasis dynasties mosaic"
"605","HIST398J","Mamluk Egypt","<p>A study of the Mamluks, manumitted slaves initially imported to Egypt for military service who established their own rule over Egypt and Syria (1250–1517). Focus on the structure and workings of the Mamluk state. Military, political, economic, and social factors that contributed to the grandeur and, later, the decline of the Mamluk period in Egypt and its conquest by the Ottoman Turks.</p>
","MMES173","NELC404",NA,NA,NA,NA,NA,NA,NA,"mamluks manumitted slaves initially imported egypt military service established syria 12501517 focus workings mamluk state political economic social contributed grandeur later decline ottoman turks"
"606","HIST450J","U.S. Foreign Relations in the 20th Century","<p>United States foreign policy and international relations since 1898. Themes include geopolitics, ideology, national identity, empire and imperialism, commercial expansion, military interventions, and the global dissemination of American culture. The relationship between diplomacy and “domestic” politics, culture, and society.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"states foreign policy international relations 1898 themes geopolitics ideology national identity empire imperialism expansion military dissemination american culture politics society"
"607","HIST462J","The American Revolution in Global Perspective","<p>Exploration of the American Revolution in the context of Spanish American independence movements; the French and Haitian Revolutions; American developments in terms of sovereign debt crises around the world; and the globalization of trade, in particular European commerce with Spanish America, India, and China.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"exploration american revolution context movements french haitian revolutions terms sovereign debt world trade particular european commerce india"
"608","HIST481J","Grand Narratives in Global History","<p>Analysis of recent attempts to find patterns and unifying narratives in the complexity of world history. Topics include the decline of violence, economic divergences and global inequality, geographic determinism, climate and history, human history and the biosphere, demographic and evolutionary perspectives on history, history as neurochemistry, and the shifting shape of world history from different geographical vantage points.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"recent find patterns unifying narratives world topics decline violence economic divergences geographic determinism climate biosphere demographic evolutionary perspectives neurochemistry shifting geographical vantage points"
"610","HIST299J","Intellectuals and Power in Europe","<p>The role of intellectuals in politics, with a focus on social, cultural, and political upheavals in Europe during the nineteenth and twentieth centuries. Whether intellectuals betray a higher spiritual calling when they enter politics or merely strive to put their own theories into practice. Modern answers to the question of why ideas and intellectuals matter.</p>","HUMS192",NA,NA,NA,NA,NA,NA,NA,NA,"intellectuals politics focus social cultural political upheavals europe nineteenth centuries betray spiritual calling enter merely strive practice modern answers question ideas matter"
"611","HIST283J","Anti-Judaism, Antisemitism, and Anti-Zionism","<p>Investigation to further understanding of the origins, causes, motives, and long history of antisemitism. Antisemitic topics include: its relationship to pre-modern anti-Judaism and contemporary anti-Zionism; its connection to religion and modern secular ideologies like nationalism, fascism, and socialism; how it differs from other forms of racism, hatred, and bigotry; and how its resurgence relates to anti-Zionist political activism.</p>","JDST352",NA,NA,NA,NA,NA,NA,NA,NA,"origins motives long antisemitism antisemitic topics premodern antijudaism contemporary antizionism modern secular ideologies like nationalism fascism socialism differs racism hatred bigotry resurgence relates antizionist political activism"
"612","HIST220","Introduction to Modern Jewish History","<p>A broad introduction to the history of Jewish culture from the late Middle Ages until the present. Emphasis on the changing interaction of Jews with the larger society as well as the transformation of Judaism in its encounter with modernity.</p>
","JDST201","RLST149",NA,NA,NA,NA,NA,NA,NA,"broad jewish culture late present emphasis interaction jews larger society well transformation judaism encounter modernity"
"613","HIST248","Introduction to Modern Jewish Thought","<p>An overview of Jewish philosophical trends, movements, and thinkers from the seventeenth century to the twenty-first. Topics include enlightenment, historicism, socialism, secularism, religious radicalism, and Zionism.</p>
","JDST293","RLST214",NA,NA,NA,NA,NA,NA,NA,"jewish trends movements thinkers seventeenth twentyfirst topics enlightenment historicism socialism secularism radicalism zionism"
"614","HIST237","Russian Culture: The Modern Age","<p>An interdisciplinary exploration of Russian cultural history, focusing on literature, art, religion, social and political thought, and film. Conceptions of Russian nationhood; the myths of St. Petersburg; dissent and persecution; the role of social and cultural elites; the intelligentsia; attitudes toward the common people; conflicting appeals of rationality, spirituality, and idealism; the politicization of personal life; the impact of the Bolshevik Revolution and its aftermath. Readings and discussion in English.</p>","RUSS241","RSEE390",NA,NA,NA,NA,NA,NA,NA,"exploration russian cultural focusing social political thought film nationhood myths st petersburg dissent persecution elites intelligentsia attitudes common conflicting appeals rationality spirituality idealism politicization personal life bolshevik revolution aftermath discussion english"
"615","HIST227","The Spanish Civil War: Words and Images","<p>An introduction to the history and cultural-literary impact of the Spanish Civil War (1936–39) from national and international perspectives. Views both from within and from outside the war; women and the war; memory and the war. Authors include George Orwell, Ernest Hemingway, Javier Cercas, Alberto Méndez, Mercè Rodoreda, Ramón J. Sender, W. H. Auden, and Stephen Spender.</p>
","SPAN367",NA,NA,NA,NA,NA,NA,NA,NA,"culturalliterary civil war 193639 national international perspectives views within women memory authors ernest hemingway javier cercas alberto méndez mercè rodoreda ramón j sender w auden stephen spender"
"619","HIST099","Computers, Culture, and Biology","<p>Electronic life and the history of the current digital age, evaluated to better understand how it has transformed, and is continuing to transform, fundamental questions about what it means to be alive. Examination of early histories of computation and communication and their transformations and intersections with bodies and environments. Key topics include artificial intelligence, the Internet, virtual reality, “big data,” and synthetic biology.</p>","HSHM009",NA,NA,NA,NA,NA,NA,NA,NA,"electronic life digital evaluated understand transformed continuing transform alive histories computation intersections bodies environments key topics artificial intelligence internet reality big data synthetic biology"
"620","HIST104J","Social Reform in the United States, 1890–1968","<p>Study of organized efforts to transform and reconfigure the social and economic fabric of American life through focus on four periods of reform: the agrarian Populist movement at the end of the nineteenth century; the Progressive movement in the early twentieth century; the New Deal during the 1930s and early 1940s; and the Civil Rights movement, the War on Poverty, and the rise of the ""Right"" in the postwar period.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organized transform reconfigure social economic fabric american life focus periods agrarian populist movement end nineteenth progressive deal 1930s 1940s civil war poverty right"
"621","HIST196J","Daily Life in American Capitalism","<p>How economic change has transformed the experience of daily life. The relationship between capitalism and ordinary routines and everyday phenomena, including: food, drink, work, sleep, sex, manners, family, and clothing. Industrial development and the creation of new sights, sounds, smells, tastes, and feelings. Focus on American experience from colonial times to the present.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic change transformed life capitalism ordinary routines everyday phenomena including drink work sleep manners family clothing industrial sights sounds smells tastes feelings focus american colonial present"
"622","HIST131J","Urban History in the United States, 1870 to the Present","<p>The history of work, leisure, consumption, and housing in American cities. Topics include immigration, formation and re-formation of ethnic communities, the segregation of cities along the lines of class and race, labor organizing, the impact of federal policy, the growth of suburbs, the War on Poverty and Reaganism, and post-Katrina New Orleans.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"work leisure consumption housing american cities topics immigration formation reformation segregation lines class race labor organizing federal policy suburbs war poverty reaganism postkatrina orleans"
"623","HIST254J","Time and Place in Early Modern England","<p>Perceptions of time and place in England and their relationships to personal and social identity, c. 1500 to 1800. Cartography, chorography, antiquarianism, conventions of timekeeping, perceptions of the life course, the creation of social memory and historical narratives, representations of social place, the effects of the Reformation, iconic places, and perceptions of previously unknown places and peoples. Use of visual and textual primary sources.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"perceptions time place england personal social identity 1800 cartography chorography antiquarianism conventions timekeeping life course memory historical narratives representations reformation iconic previously unknown peoples use textual sources"
"624","HIST283","History of the Supernatural","<p>Development of western beliefs in a supernatural realm and in non-material forces, from the emergence of Christian religion to the present. Using saints, relics, miracles, magic, charms, folk traditions, angels, demons, mystics, witches, exorcists, vampires, and psychics as points of entry, students study the role that beliefs about the supernatural have played in western culture and—more importantly—what attitudes toward these beliefs reveal in the early twenty-first century.&#160;</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"western beliefs realm nonmaterial forces emergence christian present using saints relics miracles magic charms folk traditions angels demons mystics witches exorcists vampires psychics points entry students culture andmore importantlywhat attitudes reveal twentyfirst "
"625","HIST302J","Latin American Cities in the Twentieth Century","<p>Twentieth-century Latin American cities in local and transnational perspective. Critique of the discourse of urban crisis. Topics include urban planning and public space; industrialization, labor, and populism; race, gender, and migration; informal settlements; Cold War urbanism; urban mega-events; and contemporary problems of crime, security, and segregation.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"twentiethcentury latin american cities discourse urban crisis topics planning public industrialization labor populism race informal settlements cold war urbanism megaevents contemporary crime security segregation"
"626","HIST308J","History and Politics in Early China","<p>How the history and politics of early China came to shape political thinking and policy debates in two thousand years of imperial rule.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"politics came political policy two thousand imperial"
"627","HIST410J","Technology and Culture","<p>The relationship between technological development and political, economic, and social power. Case studies such as colonial engineering projects, railway journeys, aviation in Cold War Afghanistan, and rockets in French Guiana illustrate ways that technology has transformed relations of power around the world.</p>
","HSHM458",NA,NA,NA,NA,NA,NA,NA,NA,"political economic social colonial engineering projects railway journeys aviation cold war afghanistan rockets french guiana illustrate technology transformed relations world"
"628","HIST215J","The Art of Biography","<p>A comparative examination of successful as well as unsuccessful biographies, intended to identify both principles and pitfalls.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"comparative successful well unsuccessful biographies intended identify pitfalls"
"629","HIST396","India and Pakistan since 1947","<p>Introduction to the history of the Indian subcontinent from 1947 to the present. Focus on the emergence of modern forms of life and thought, the impact of the partition on state and society, and the challenges of democracy and development. Transformations of society, economy, and culture; state building; economic policy.</p>","SAST224",NA,NA,NA,NA,NA,NA,NA,NA,"indian subcontinent 1947 present focus emergence modern life thought partition state society challenges culture building economic policy"
"630","HIST178J","Other Minds","<p>A historical and scientific perspective on what this course will refer to as ""other minds."" Students have the opportunity to study key scientific papers and interact with international experts on such topics as the cognitive capacities that allow humans to think of animal species as deserving of compassion and respect; why certain human groups are considered ""less than"" human; and what makes the human mind special.</p>","HSHM457","PSYC455","HUMS457",NA,NA,NA,NA,NA,NA,"historical scientific course will refer minds students key interact international experts topics cognitive capacities allow think animal species deserving compassion respect certain groups less makes special"
"631","HIST481","Studies in Grand Strategy I","<p>The study of grand strategy, of how&#160;individuals and groups can accomplish large ends with limited means. The spring semester&#160;focuses on key moments in history that illustrate strategic thinking in action. During the summer, students undertake research projects or internships analyzing strategic problems or aspects of strategy. The following fall, students put their ideas into action by applying concepts of grand strategy to present day issues. Admission is by application only; the cycle for the current year is closed.</p>","PLSC321",NA,NA,NA,NA,NA,NA,NA,NA,"grand groups accomplish large ends limited spring key moments illustrate strategic summer students undertake projects internships analyzing aspects ideas applying concepts present application cycle year closed semester"
"632","HIST321J","Imagining Modern Indonesia, 1900 to the Present","<p>The concept of imagined communities and the different ways in which Indonesia has been imagined over time, from colonial exploitation, war and revolution, to the present. Topics include what “Indonesia” and being “Indonesian” means to Indonesians; how this identity has changed over time; why certain visions for Indonesia have been accepted while others have been deemed subversive; and why some visions have led to political conflict and violence.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"imagined indonesia time colonial exploitation war revolution present topics indonesian indonesians identity certain visions accepted deemed subversive led political conflict violence"
"633","HLTH450","Grand Strategy and Global Health","<p>Integration and application of the principles of grand strategy and problem solving to address large and persistent challenges in global health at both a conceptual and practical level. Strategic assessment of needs, resources, and constraints in the global health landscape; and critical analysis of diverse forms of data to inform and evaluate strategic responses to global health problems. Students deliver professional briefs and oral presentations for global health audiences. Open to juniors and seniors with prior relevant course work.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"application grand problem solving large persistent challenges health level strategic needs resources data inform evaluate responses students deliver professional briefs oral presentations audiences juniors course work"
"634","HMRT100","Theories, Practices, and Politics of Human Rights","<p>Introduction to core human-rights issues, ideas, practices, and controversies. The concept of human rights as a philosophical construct, a legal instrument, a political tool, an approach to economic and equity issues, a social agenda, and an international locus of contestation and legitimation. Required for students in the Multidisciplinary Academic Program in Human Rights.</p>","PLSC148",NA,NA,NA,NA,NA,NA,NA,NA,"core humanrights ideas practices construct legal instrument political economic equity social agenda international locus contestation legitimation students multidisciplinary academic program"
"635","HNDI120","Elementary Hindi II","<p>Continuation of HNDI 110.</p>
","HNDI520",NA,NA,NA,NA,NA,NA,NA,NA,"hndi 110"
"636","HNDI140","Intermediate Hindi II","<p>Continuation of HNDI 130.</p>
","HNDI540",NA,NA,NA,NA,NA,NA,NA,NA,"hndi 130"
"637","HNDI142","Accelerated Hindi II","<p>Continuation of HNDI 132. Development of increased proficiency in the  four language skills. Focus on reading and higher language functions  such as narration, description, and comparison. Reading strategies for  parsing paragraph-length sentences in Hindi newspapers. Discussion of  political, social, and cultural dimensions of Hindi culture as well as  contemporary global issues.</p>
","HNDI542",NA,NA,NA,NA,NA,NA,NA,NA,"hndi increased  language focus narration description comparison strategies parsing paragraphlength sentences hindi newspapers discussion political social cultural culture well contemporary"
"638","HNDI159","Hindi Literature and Public Culture","<p>An advanced language course that develops language skills through selected readings of Hindi literature and the study of popular culture. Focus on the adaptations of literary works of Prem Chand, Mannoo Bhandhari, Sharat Chandra, and Amrita Pritam in popular culture, cinema, theater, and television dramas.</p>
","HNDI559",NA,NA,NA,NA,NA,NA,NA,NA,"language course develops hindi culture focus adaptations literary works prem chand mannoo bhandhari sharat chandra amrita pritam dramas"
"639","HNDI198","Advanced Tutorial","<p>For students with advanced Hindi language skills who wish to engage in concentrated reading and research on material not otherwise offered by the department. Work must be supervised by an adviser and must terminate in a term paper or the equivalent. Permission to enroll requires submission of a detailed project proposal and its approval by the language studies coordinator.</p>
","HNDI598",NA,NA,NA,NA,NA,NA,NA,NA,"students hindi language wish engage material otherwise work must supervised term paper equivalent proposal coordinator"
"640","HSAR115","Introduction to the History of Art: Renaissance to the Present","<p>Painting, sculpture, and graphic arts, with some reference to architecture. Selected major works and artists treated in terms of form, function, and historical context. Introduction to visual analysis. Special attention to contact between Europe and its others.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"painting arts reference works artists treated terms function historical context special europe"
"641","HSAR142","Introduction to the History of Art: The Classical Buddhist World","<p>Buddhist art and architecture of India, Pakistan, Afghanistan, and central Asia from earliest beginnings to the tenth century, and including Greco-Roman, Persian, and Islamic contact.</p>
","SAST265","RLST187",NA,NA,NA,NA,NA,NA,NA,"buddhist india pakistan afghanistan central beginnings tenth including grecoroman persian"
"642","HSAR312","Modern Architecture, 1890–1980","<p>Architects, movements, and buildings central to the development of modern architecture from the late nineteenth century through the 1970s. Common threads and differing conceptions of modern architecture. The relationship of architecture to urban transformation; the formulation of new typologies; architects' responses to new technologies and materials; changes in regimes of representation and media. Architects include Adolf Loos, Frank Lloyd Wright, Le Corbusier, Ludwig Mies van der Rohe, and Louis Kahn.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"architects movements buildings central modern late nineteenth 1970s common threads differing urban transformation formulation typologies responses technologies materials regimes adolf loos frank lloyd wright le corbusier ludwig mies van der rohe louis kahn"
"643","HSAR331","Postwar Art in Europe and North America","<p>A representative survey of art in Europe and North America between 1945 and today. Movements considered include Abstract Expressionism, Pop art, Minimalism, and Conceptual art on both sides of the Atlantic. Major topics range from the mediated image, to the postwar city, to the “white cube” exhibition space, and to the human body between imprint and medium.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"representative europe 1945 movements abstract expressionism pop minimalism sides atlantic topics mediated image white cube exhibition imprint medium"
"644","HSAR368","Practices of Japanese Painting and Printmaking","Introduction to the Japanese painting and print traditions that inform Western modernism. Definition of specific formats, approaches, styles, and transitions. Paintings and prints as artifacts and as imaginative spaces in which social and cultural meanings unfold and can be analyzed in comparative perspective.<BR>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese painting print traditions inform western definition formats transitions paintings prints artifacts imaginative spaces social cultural unfold analyzed comparative"
"645","HSAR401","Critical Approaches to Art History","<p>A wide-ranging introduction to the methods of the art historian and the history of the discipline. Themes include connoisseurship, iconography, formalism, and selected methodologies informed by contemporary theory.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"wideranging methods historian themes connoisseurship iconography formalism informed contemporary"
"646","HSAR402","The Afterlife of Pre-Columbian Art","<p>After pre-Columbian objects leave their archaeological site or source community they take on a life of their own. This course examines the role that museums and political institutions have in shaping their future and how nineteenth- and twentieth-century artists engage with these “ancient” objects. Related to the Yale University Art Gallery exhibition <em>Small-Great Objects: Anni and Josef Albers in the Americas</em> and taught by the show curator.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"precolumbian objects leave archaeological site source life course examines museums political institutions shaping future nineteenth twentiethcentury artists engage related yale exhibition smallgreat anni josef albers americas taught show curator"
"647","HSAR403","Observation and Analysis","<p>A survey of the techniques and materials employed in Western painting, sculpture, and graphic arts from antiquity to the present. Modern examination techniques analyzed as tools for connoisseurship, dating, and authentication, including study of age, damage, and restoration as they change works of art. General concepts of preservation and conservation.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"techniques materials employed western painting arts present modern analyzed connoisseurship dating authentication including damage restoration change works concepts preservation conservation"
"648","HSAR418","Seeing, Describing, and Interpreting","<p>Study of select works of art from the period between 1500 and 1800, all on display in the Yale Art Gallery. Required readings of articles and theoretical text are meant to encourage discussion in front of the artwork. The importance of both visual and written information to better understand how artists communicate messages and engage imagination.&#160; All sessions held at the Yale Art Gallery.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"works 1800 display yale theoretical meant encourage discussion front artwork information understand artists communicate messages engage "
"649","HSAR447","Perspectives on African Art","<p>Introduction to the appreciation, understanding, and history of studying, collecting, and representing African Art. Along with a selection of artworks and themes represented in the newly designed African Art Gallery at Yale University Art Gallery, students will explore aesthetics, socio-cultural context, and iconography of tradition based African Art.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"appreciation studying collecting representing african artworks themes represented newly designed yale students will explore context iconography tradition"
"650","HSAR453","Textiles of Asia, 800–1800 C.E.","<p>Survey of the great textile traditions of China, India, and the Islamic world from the ninth through eighteenth centuries C.E. The roles of central and southeast Asia in the transmission of styles and techniques. The cultural meaning, mobility, and cross-cultural significance of textiles in Asia. Extensive use of the Yale University Art Gallery's textile collections.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"great textile traditions india world ninth centuries ce central southeast techniques cultural mobility crosscultural significance textiles use yale gallerys"
"651","HSAR462","Art, Science, and Expedition in the Americas","<p>Study of the works of artists traveling throughout North and South America during the late eighteenth and nineteenth centuries as participants in major expeditions to survey new lands and document discoveries. Consideration of relationships between natural history and visual imagination, practices of collecting, politics of display, mapping as an artistic model, and aesthetics of early ecological thought. Extensive use of Yale collections.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"works artists traveling throughout late nineteenth centuries participants expeditions lands document natural practices collecting politics display artistic model ecological thought use yale"
"654","HSAR456","Art and Politics in the Modern Middle East","<p>Political ideologies have either unified the modern Middle East, such as Pan-Arabism of the 1960s and Islamism of the 1980s, or caused deep ruptures, such as Zionism and sectarianism. Examination of the art and architectural productions that have gone hand-in-hand with these political developments from the nineteenth century until present day. Poetic, visual, and urban interventions document the profound changes that have defined the countries of this region, while connecting them to political movements throughout the world.</p>","MMES456",NA,NA,NA,NA,NA,NA,NA,NA,"political ideologies unified modern east panarabism 1960s islamism caused deep ruptures zionism sectarianism gone handinhand nineteenth present poetic urban document profound defined countries region connecting movements throughout world"
"655","HSHM227","Science in the Ancient and Premodern World","<p>The engagement of premodern civilizations with the study of nature, from antiquity to c. 1500. Middle Eastern and Greco-Roman scientific traditions,&#160;cross-cultural dissemination with India and China, natural philosophy in the Islamic and Christian Middle Ages. Emphasis on the visual and material culture of science. No background in history or science is required.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"premodern civilizations eastern grecoroman scientific dissemination india natural philosophy christian emphasis material culture background traditions crosscultural"
"656","HSHM415","Historical Perspectives on Science and Religion","<p>The engagement between science and religion from a historical standpoint and a multicultural perspective. The Islamic, Jewish, Buddhist, and Christian traditions; the&#160;roots of modern creationism; salvation expectations and the rise of modern science and technology. General knowledge of western and world history is expected.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"historical standpoint multicultural jewish buddhist christian traditions modern creationism salvation expectations technology western world roots"
